,ddtime,dutime,ftime,key,kftime,time,uutime
0,399.051968504,483.103937008,86.4251207729,72,75,75,399.05984252
1,181.0,268.0,106.0,69,193,87,193.0
2,111.0,174.0,24.0,76,87,63,87.0
3,128.0,219.0,65.0,76,156,91,156.0
4,190.0,253.0,99.0,79,162,63,162.0
5,168.0,299.0,105.0,32,236,131,236.0
6,483.0,558.0,352.0,77,427,75,427.0
7,182.0,253.0,107.0,89,178,71,178.0
8,104.0,191.0,33.0,32,120,87,120.0
9,200.0,275.0,113.0,78,188,75,188.0
10,56.0,155.0,0.0,65,99,99,80.0
11,142.0,208.0,43.0,77,109,66,109.0
12,79.0,166.0,13.0,69,100,87,100.0
13,75.0,175.0,0.0,32,100,100,88.0
14,207.0,294.0,107.0,73,194,87,194.0
15,110.0,205.0,23.0,83,118,95,118.0
16,84.0,163.0,0.0,32,79,79,68.0
17,270.0,377.0,191.0,83,298,107,298.0
18,88.0,203.0,0.0,65,115,115,96.0
19,166.0,247.0,51.0,85,132,81,132.0
20,179.0,266.0,98.0,77,185,87,185.0
21,213.0,300.0,126.0,73,213,87,213.0
22,110.0,177.0,23.0,84,90,67,90.0
23,151.0,210.0,84.0,82,143,59,143.0
24,130.0,261.0,71.0,65,202,131,202.0
25,100.0,179.0,0.0,190,79,79,48.0
26,169.0,228.0,90.0,32,149,59,149.0
27,412.0,506.0,353.0,73,447,94,447.0
28,227.0,294.0,133.0,32,200,67,200.0
29,193.0,268.0,126.0,76,201,75,201.0
30,134.0,217.0,59.0,86,142,83,142.0
31,20.0,105.0,0.0,79,85,85,22.0
32,329.0,400.0,244.0,69,315,71,315.0
33,261.0,312.0,190.0,8,241,51,241.0
34,116.0,163.0,65.0,8,112,47,112.0
35,128.0,179.0,81.0,8,132,51,132.0
36,166.0,249.0,115.0,79,198,83,198.0
37,123.0,198.0,40.0,86,115,75,115.0
38,110.0,186.0,35.0,69,111,76,111.0
39,113.0,170.0,37.0,32,94,57,94.0
40,91.0,186.0,34.0,69,129,95,129.0
41,153.0,208.0,58.0,65,113,55,113.0
42,125.0,216.0,70.0,84,161,91,161.0
43,88.0,171.0,0.0,73,83,83,80.0
44,166.0,241.0,83.0,78,158,75,158.0
45,92.0,188.0,17.0,71,113,96,113.0
46,81.0,164.0,0.0,32,83,83,68.0
47,351.0,458.0,268.0,68,375,107,375.0
48,203.0,238.0,96.0,72,131,35,131.0
49,695.0,766.0,660.0,79,731,71,731.0
50,166.0,212.0,95.0,75,141,46,141.0
51,142.0,213.0,96.0,76,167,71,167.0
52,76.0,227.0,5.0,65,156,151,156.0
53,72.0,203.0,0.0,83,131,131,52.0
54,250.0,337.0,119.0,190,206,87,206.0
55,196.0,251.0,109.0,32,164,55,164.0
56,645.0,728.0,590.0,87,673,83,673.0
57,201.0,289.0,118.0,72,206,88,206.0
58,72.0,176.0,0.0,65,104,104,88.0
59,178.0,257.0,74.0,84,153,79,153.0
60,8.0,149.0,0.0,32,141,141,70.0
61,276.0,348.0,135.0,68,207,72,207.0
62,99.0,168.0,27.0,79,96,69,96.0
63,178.0,249.0,109.0,32,180,71,180.0
64,119.0,198.0,48.0,89,127,79,127.0
65,113.0,177.0,34.0,79,98,64,98.0
66,126.0,209.0,62.0,85,145,83,145.0
67,180.0,255.0,97.0,32,172,75,172.0
68,196.0,259.0,121.0,76,184,63,184.0
69,138.0,189.0,75.0,73,126,51,126.0
70,116.0,215.0,65.0,75,164,99,164.0
71,123.0,195.0,24.0,69,96,72,96.0
72,232.0,323.0,160.0,191,251,91,251.0
73,1936.0,2039.0,86.4251207729,79,103,103,1948.0
74,148.0,219.0,45.0,70,116,71,116.0
75,186.0,241.0,115.0,84,170,55,170.0
76,168.0,214.0,113.0,69,159,46,159.0
77,26.0,107.0,0.0,78,81,81,61.0
78,157.0,220.0,76.0,32,139,63,139.0
79,410.0,515.0,347.0,73,452,105,452.0
80,246.0,351.0,141.0,32,246,105,246.0
81,92.0,191.0,0.0,87,99,99,86.0
82,162.0,214.0,63.0,73,115,52,115.0
83,175.0,234.0,123.0,76,182,59,182.0
84,118.0,185.0,59.0,76,126,67,126.0
85,164.0,258.0,97.0,32,191,94,191.0
86,729.0,824.0,635.0,76,730,95,730.0
87,92.0,191.0,0.0,65,99,99,96.0
88,183.0,206.0,84.0,85,107,23,107.0
89,95.0,183.0,72.0,71,160,88,160.0
90,254.0,330.0,166.0,32,242,76,242.0
91,322.0,393.0,246.0,8,317,71,317.0
92,204.0,272.0,133.0,72,201,68,201.0
93,140.0,219.0,72.0,32,151,79,151.0
94,99.0,171.0,20.0,65,92,72,92.0
95,82.0,153.0,10.0,66,81,71,81.0
96,176.0,248.0,105.0,79,177,72,177.0
97,135.0,219.0,63.0,85,147,84,147.0
98,121.0,210.0,37.0,84,126,89,126.0
99,94.0,177.0,5.0,32,88,83,88.0
100,277.0,360.0,194.0,67,277,83,277.0
101,167.0,290.0,84.0,69,207,123,207.0
102,64.0,164.0,0.0,82,100,100,41.0
103,150.0,233.0,50.0,84,133,83,133.0
104,156.0,259.0,73.0,65,176,103,176.0
105,16.0,117.0,0.0,73,101,101,14.0
106,406.0,481.0,305.0,78,380,75,380.0
107,151.0,233.0,76.0,32,158,82,158.0
108,81.0,163.0,0.0,84,82,82,81.0
109,111.0,180.0,29.0,72,98,69,98.0
110,145.0,229.0,76.0,73,160,84,160.0
111,167.0,262.0,83.0,78,178,95,178.0
112,118.0,175.0,23.0,71,80,57,80.0
113,125.0,341.0,68.0,83,284,216,284.0
114,1076.0,1175.0,86.4251207729,77,99,99,959.0
115,149.0,244.0,50.0,65,145,95,145.0
116,202.0,257.0,107.0,89,162,55,162.0
117,157.0,232.0,102.0,66,177,75,177.0
118,99.0,185.0,24.0,69,110,86,110.0
119,96.0,167.0,10.0,32,81,71,81.0
120,155.0,242.0,84.0,66,171,87,171.0
121,68.0,123.0,0.0,69,55,55,36.0
122,121.0,216.0,66.0,65,161,95,161.0
123,308.0,412.0,213.0,85,317,104,317.0
124,153.0,228.0,49.0,84,124,75,124.0
125,213.0,309.0,138.0,70,234,96,234.0
126,115.0,198.0,19.0,73,102,83,102.0
127,194.0,285.0,111.0,85,202,91,202.0
128,337.0,376.0,246.0,8,285,39,285.0
129,104.0,159.0,65.0,8,120,55,120.0
130,495.0,574.0,440.0,8,519,79,519.0
131,197.0,284.0,118.0,73,205,87,205.0
132,114.0,197.0,27.0,70,110,83,110.0
133,117.0,203.0,34.0,85,120,86,120.0
134,739.0,802.0,653.0,32,716,63,716.0
135,312.0,367.0,249.0,8,304,55,304.0
136,175.0,266.0,120.0,76,211,91,211.0
137,182.0,249.0,91.0,32,158,67,158.0
138,172.0,271.0,105.0,80,204,99,204.0
139,76.0,143.0,0.0,69,67,67,44.0
140,122.0,205.0,55.0,65,138,83,138.0
141,109.0,188.0,26.0,82,105,79,105.0
142,168.0,283.0,89.0,83,204,115,204.0
143,64.0,131.0,0.0,32,67,67,16.0
144,169.0,248.0,102.0,79,181,79,181.0
145,147.0,222.0,68.0,78,143,75,143.0
146,148.0,271.0,73.0,76,196,123,196.0
147,125.0,195.0,2.0,89,72,70,72.0
148,91.0,166.0,21.0,32,96,75,96.0
149,169.0,267.0,94.0,71,192,98,192.0
150,64.0,147.0,0.0,79,83,83,49.0
151,147.0,226.0,64.0,32,143,79,143.0
152,416.0,498.0,337.0,8,419,82,419.0
153,155.0,223.0,73.0,8,141,68,141.0
154,122.0,198.0,54.0,82,130,76,130.0
155,115.0,192.0,39.0,79,116,77,116.0
156,79.0,161.0,2.0,87,84,82,84.0
157,125.0,196.0,43.0,32,114,71,114.0
158,185.0,236.0,114.0,79,165,51,165.0
159,108.0,199.0,57.0,78,148,91,148.0
160,145.0,248.0,54.0,32,157,103,157.0
161,411.0,494.0,308.0,82,391,83,391.0
162,114.0,178.0,31.0,69,95,64,95.0
163,162.0,257.0,98.0,68,193,95,193.0
164,109.0,195.0,14.0,32,100,86,100.0
165,120.0,175.0,34.0,84,89,55,89.0
166,166.0,229.0,111.0,82,174,63,174.0
167,141.0,216.0,78.0,69,153,75,153.0
168,157.0,236.0,82.0,69,161,79,161.0
169,1095.0,1194.0,86.4251207729,87,99,99,1069.0
170,230.0,293.0,131.0,72,194,63,194.0
171,122.0,217.0,59.0,89,154,95,154.0
172,195.0,290.0,100.0,32,195,95,195.0
173,104.0,227.0,9.0,65,132,123,132.0
174,143.0,255.0,20.0,77,132,112,132.0
175,196.0,287.0,84.0,32,175,91,175.0
176,580.0,679.0,489.0,73,588,99,588.0
177,234.0,321.0,135.0,32,222,87,222.0
178,229.0,264.0,142.0,84,177,35,177.0
179,145.0,181.0,110.0,89,146,36,146.0
180,521.0,592.0,485.0,80,556,71,556.0
181,166.0,237.0,95.0,73,166,71,166.0
182,158.0,245.0,87.0,78,174,87,174.0
183,105.0,195.0,18.0,71,108,90,108.0
184,87.0,182.0,0.0,32,95,95,92.0
185,302.0,397.0,207.0,84,302,95,302.0
186,92.0,143.0,0.0,72,51,51,48.0
187,145.0,224.0,94.0,73,173,79,173.0
188,88.0,207.0,9.0,83,128,119,128.0
189,347.0,478.0,228.0,191,359,131,359.0
190,399.051968504,483.103937008,86.4251207729,72,71,71,399.05984252
191,174.0,261.0,103.0,69,190,87,190.0
192,80.0,151.0,0.0,76,71,71,64.0
193,116.0,195.0,45.0,76,124,79,124.0
194,155.0,258.0,76.0,79,179,103,179.0
195,129.0,236.0,26.0,32,133,107,133.0
196,833.0,940.0,726.0,73,833,107,833.0
197,239.0,330.0,132.0,32,223,91,223.0
198,88.0,179.0,0.0,65,91,91,88.0
199,121.0,192.0,30.0,77,101,71,101.0
200,145.0,227.0,74.0,32,156,82,156.0
201,370.0,481.0,288.0,71,399,111,399.0
202,140.0,203.0,29.0,79,92,63,92.0
203,118.0,185.0,55.0,79,122,67,122.0
204,116.0,223.0,49.0,68,156,107,156.0
205,398.0,469.0,291.0,190,362,71,362.0
206,176.0,251.0,105.0,32,180,75,180.0
207,495.0,586.0,420.0,71,511,91,511.0
208,129.0,204.0,38.0,79,113,75,113.0
209,142.0,209.0,67.0,73,134,67,134.0
210,151.0,238.0,84.0,78,171,87,171.0
211,121.0,192.0,34.0,71,105,71,105.0
212,44.0,139.0,0.0,32,95,95,68.0
213,137.0,231.0,42.0,84,136,94,136.0
214,87.0,154.0,0.0,79,67,67,60.0
215,152.0,223.0,85.0,32,156,71,156.0
216,86.0,155.0,15.0,84,84,69,84.0
217,101.0,176.0,32.0,72,107,75,107.0
218,64.0,187.0,0.0,69,123,123,112.0
219,116.0,175.0,0.0,32,59,59,52.0
220,171.0,254.0,112.0,77,195,83,195.0
221,64.0,151.0,0.0,65,87,87,68.0
222,123.0,219.0,36.0,82,132,96,132.0
223,77.0,176.0,0.0,75,99,99,80.0
224,118.0,214.0,19.0,69,115,96,115.0
225,105.0,192.0,9.0,84,96,87,96.0
226,100.0,179.0,13.0,32,92,79,92.0
227,128.0,228.0,49.0,84,149,100,149.0
228,105.0,184.0,5.0,79,84,79,84.0
229,143.0,258.0,64.0,68,179,115,179.0
230,76.0,235.0,0.0,65,159,159,120.0
231,116.0,199.0,0.0,89,83,83,40.0
232,192.0,268.0,109.0,32,185,76,185.0
233,183.0,273.0,107.0,84,197,90,197.0
234,100.0,175.0,10.0,79,85,75,85.0
235,166.0,240.0,91.0,32,165,74,165.0
236,186.0,265.0,112.0,66,191,79,191.0
237,185.0,256.0,106.0,85,177,71,177.0
238,119.0,173.0,48.0,89,102,54,102.0
239,136.0,219.0,82.0,32,165,83,165.0
240,131.0,265.0,48.0,83,182,134,182.0
241,92.0,143.0,0.0,72,51,51,9.0
242,258.0,298.0,207.0,8,247,40,247.0
243,105.0,134.0,65.0,8,94,29,94.0
244,337.0,428.0,308.0,83,399,91,399.0
245,100.0,167.0,9.0,79,76,67,76.0
246,142.0,213.0,75.0,77,146,71,146.0
247,95.0,166.0,24.0,69,95,71,95.0
248,53.0,140.0,0.0,32,87,87,69.0
249,284.0,371.0,197.0,70,284,87,284.0
250,113.0,204.0,26.0,73,117,91,117.0
251,96.0,236.0,5.0,83,145,140,145.0
252,119.0,194.0,0.0,72,75,75,54.0
253,146.0,237.0,71.0,32,162,91,162.0
254,181.0,304.0,90.0,67,213,123,213.0
255,111.0,207.0,0.0,85,96,96,84.0
256,131.0,191.0,35.0,82,95,60,95.0
257,95.0,190.0,35.0,82,130,95,130.0
258,139.0,259.0,44.0,89,164,120,164.0
259,439.0,535.0,319.0,32,415,96,415.0
260,120.0,196.0,24.0,65,100,76,100.0
261,106.0,178.0,30.0,78,102,72,102.0
262,63.0,168.0,0.0,68,105,105,96.0
263,94.0,181.0,0.0,32,87,87,76.0
